Year,County,Yield,solar_radiation,humidity,wind_speed,wind_speed_max,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
2013,door,161.4,18.841666666666665,84.57499999999999,4.381666666666667,12.55,17.06,48.81666666666666,57.35,65.86666666666667,47.96666666666667,10.888333333333334,1.0033333333333332
2013,fond du lac,166.8,19.108333333333334,78.59833333333334,2.9916666666666667,9.77,25.41,51.46666666666667,61.18333333333334,70.89999999999999,49.78333333333333,14.558333333333332,1.6816666666666666
2013,kewaunee,167.4,18.371666666666663,78.49666666666666,4.471666666666667,13.33,16.39,48.4,56.96666666666667,65.53333333333335,48.51666666666667,10.16,0.8616666666666667
2013,manitowoc,150.9,18.371666666666663,80.04166666666667,4.388333333333334,13.26,16.47,49.7,57.55,65.36666666666666,49.65,9.613333333333332,0.7683333333333334
2013,outagamie,153.8,18.921666666666667,78.55999999999999,2.8716666666666666,9.2,20.47,50.0,60.11666666666667,70.28333333333333,49.86666666666667,14.473333333333334,1.0816666666666668
2013,sheboygan,146.1,18.561666666666664,82.38000000000001,4.218333333333334,12.87,18.73,50.916666666666664,59.3,67.73333333333333,51.1,10.955,0.7816666666666666
2013,winnebago,155.6,18.921666666666667,78.59833333333334,2.9916666666666667,9.77,20.68,51.45,61.26666666666667,71.06666666666666,50.18333333333334,14.981666666666667,1.4800000000000002
2013,ashland,115.7,17.901666666666667,80.25,0.6683333333333333,2.84,30.94,45.28333333333333,55.8,66.33333333333333,46.35,12.241666666666667,0.8866666666666667
2013,lincoln,134.8,18.61666666666667,80.53,2.9583333333333335,9.05,25.94,44.61666666666667,55.916666666666664,67.21666666666667,47.1,12.696666666666667,0.4816666666666667
2013,marathon,126.5,18.836666666666662,80.77166666666666,2.7883333333333336,9.0,24.81,48.8,58.96666666666667,69.2,48.96666666666667,14.01,0.9166666666666666
2013,price,105.2,18.343333333333337,80.42333333333333,2.7416666666666667,8.88,25.77,46.35,57.26666666666667,68.2,47.86666666666667,13.648333333333332,0.6416666666666667
2013,marinette,145.2,18.841666666666665,76.90833333333335,1.41,5.27,19.84,44.95,57.1,69.21666666666667,47.36666666666667,14.621666666666668,0.44
2013,oconto,154.4,18.921666666666667,77.39999999999999,2.908333333333333,9.97,18.19,47.03333333333333,58.21666666666667,69.41666666666667,48.65,13.99,0.5950000000000001
2013,shawano,152.6,18.921666666666667,78.46499999999999,2.796666666666667,9.56,21.65,47.6,58.76666666666666,69.91666666666667,49.01666666666667,14.58,0.63
2013,barron,109.7,18.343333333333337,77.36833333333333,2.955,9.22,17.46,47.95,58.53333333333333,69.08333333333333,48.333333333333336,14.363333333333337,0.96
2013,burnett,85.3,18.093333333333337,73.62333333333332,2.606666666666667,8.35,18.9,46.73333333333333,57.86666666666667,69.01666666666667,47.416666666666664,14.855,0.945
2013,chippewa,101.9,18.343333333333337,78.68333333333334,2.9,8.85,23.03,49.083333333333336,59.7,70.3,49.06666666666666,15.351666666666668,0.9716666666666668
2013,polk,103.0,18.093333333333337,74.22166666666666,3.036666666666666,9.36,20.29,48.73333333333333,59.25,69.76666666666667,49.1,14.64,1.01
2013,rusk,106.4,18.343333333333337,79.32833333333333,1.6666666666666667,6.05,22.53,46.86666666666667,58.11666666666667,69.39999999999999,48.48333333333333,14.433333333333332,0.6433333333333334
2013,sawyer,115.6,18.343333333333337,78.40833333333333,1.3316666666666666,4.71,25.71,44.31666666666666,55.61666666666667,66.93333333333334,46.01666666666667,12.88,0.7066666666666667
2013,washburn,81.9,18.343333333333337,75.62166666666667,2.5066666666666664,8.03,22.13,46.93333333333334,58.1,69.25,47.416666666666664,14.896666666666668,0.9583333333333334
2013,columbia,157.9,19.041666666666668,79.545,2.83,8.68,27.869999999999997,50.11666666666667,61.56666666666666,73.03333333333333,50.45,16.98,0.9716666666666668
2013,dane,177.4,19.041666666666668,80.2,2.848333333333333,8.71,30.46,51.45,62.23333333333333,73.01666666666667,51.38333333333333,16.018333333333334,1.1483333333333334
2013,dodge,163.0,19.108333333333334,79.63166666666667,2.8800000000000003,9.97,26.1,50.93333333333334,61.01666666666667,71.14999999999999,49.63333333333333,15.955,1.2616666666666667
2013,green,157.1,19.605,79.10833333333335,2.741666666666667,9.07,25.09,52.78333333333333,63.15,73.5,52.55,16.345,0.945
2013,jefferson,164.6,19.108333333333334,79.765,2.83,9.74,27.65,52.13333333333333,62.4,72.64999999999999,51.38333333333333,15.62,1.3516666666666666
2013,rock,168.4,19.605,79.10833333333335,2.741666666666667,9.07,26.51,52.11666666666667,62.81666666666666,73.5,51.06666666666666,17.171666666666667,1.505
2013,kenosha,157.7,18.511666666666667,79.375,2.9483333333333337,9.66,22.67,52.93333333333334,61.76666666666667,70.58333333333333,51.75,12.941666666666668,1.586666666666667
