County,Year,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
Grant,1988,11.57,52.21666666666667,65.58333333333333,78.98333333333333,50.21666666666667,22.83,1.8549999999999998
Grant,1989,17.83,50.06666666666666,61.51666666666667,72.98333333333333,50.81666666666666,15.446666666666665,0.8783333333333334
Grant,1990,23.28,51.63333333333333,62.06666666666667,72.45,53.1,13.431666666666667,0.66
Grant,1991,25.57,53.78333333333333,64.08333333333333,74.33333333333333,54.86666666666667,14.766666666666666,0.6833333333333332
Grant,1992,21.07,48.333333333333336,59.0,69.64999999999999,49.333333333333336,12.851666666666667,0.7466666666666667
Grant,1993,38.239999999999995,50.98333333333333,59.93333333333334,68.93333333333332,52.96666666666667,10.538333333333334,0.5133333333333333
Grant,1994,23.88,51.28333333333333,61.63333333333333,71.91666666666667,51.833333333333336,13.128333333333332,0.8250000000000001
Grant,1995,19.62,52.300000000000004,62.06666666666667,71.86666666666666,53.43333333333333,13.081666666666665,0.6733333333333333
Grant,1996,18.74,50.0,59.849999999999994,69.71666666666665,51.666666666666664,11.818333333333333,0.6549999999999999
Grant,1997,22.580000000000002,50.083333333333336,59.900000000000006,69.73333333333333,51.73333333333333,11.545,0.6933333333333334
Grant,1998,26.080000000000002,53.916666666666664,63.78333333333334,73.64999999999999,55.949999999999996,12.913333333333334,0.5466666666666667
Grant,1999,27.439999999999998,53.18333333333334,62.98333333333333,72.83333333333333,54.71666666666667,12.708333333333334,0.71
Grant,2000,27.909999999999997,52.06666666666666,61.88333333333333,71.68333333333334,53.15,12.473333333333334,0.7516666666666666
Grant,2001,27.580000000000002,52.73333333333333,62.76666666666667,72.78333333333333,54.449999999999996,13.218333333333334,0.6266666666666667
Grant,2002,25.11,52.51666666666667,62.550000000000004,72.60000000000001,53.916666666666664,13.393333333333333,0.9033333333333333
Grant,2003,19.490000000000002,51.1,62.083333333333336,73.03333333333333,51.583333333333336,15.549999999999999,1.0816666666666668
Grant,2004,24.459999999999997,50.76666666666667,61.23333333333333,71.7,52.083333333333336,12.829999999999998,0.7966666666666667
Grant,2005,23.68,53.43333333333334,64.06666666666666,74.7,53.85,15.248333333333335,1.0566666666666666
